longitude,latitude,wind_direction_10m_dominant
75.375,6.5,192
75.625,6.5,221
75.875,6.5,202
76.125,6.5,212
76.375,6.5,211
76.625,6.5,235
76.875,6.5,191
77.125,6.5,221
77.375,6.5,198
77.625,6.5,208
77.875,6.5,209
78.125,6.5,235
78.375,6.5,188
78.625,6.5,219
78.875,6.5,192
79.125,6.5,202
79.375,6.5,207
79.625,6.5,233
80.125,6.5,188
80.5,6.5,219
80.625,6.5,189
80.875,6.5,197
81.125,6.5,207
81.375,6.5,233
81.625,6.5,188
82.125,6.5,218
82.375,6.5,182
82.625,6.5,188
82.875,6.5,205
83.125,6.5,234
83.375,6.5,185
83.625,6.5,214
83.875,6.5,177
84.125,6.5,184
84.375,6.5,201
84.625,6.5,233
84.875,6.5,184
85.125,6.5,212
85.375,6.5,173
85.625,6.5,180
85.875,6.5,199
86.125,6.5,233
86.375,6.5,182
86.625,6.5,210
86.875,6.5,166
87.125,6.5,169
87.375,6.5,198
87.625,6.5,232
87.875,6.5,182
88.125,6.5,207
88.375,6.5,163
88.625,6.5,166
80.25,6.625,199
81.75,6.625,233
68.875,6.75,22
69.125,6.75,340
69.375,6.75,341
69.625,6.75,326
69.875,6.75,313
70.125,6.75,308
70.375,6.75,15
70.625,6.75,338
70.875,6.75,340
71.125,6.75,325
71.375,6.75,314
71.625,6.75,308
71.875,6.75,12
72.125,6.75,338
72.375,6.75,337
72.625,6.75,324
72.875,6.75,314
73.125,6.75,307
73.375,6.75,6
73.625,6.75,336
73.875,6.75,334
74.125,6.75,322
74.375,6.75,313
74.625,6.75,306
74.875,6.75,2
75.125,6.75,335
75.375,6.75,333
75.625,6.75,320
75.875,6.75,313
76.125,6.75,305
76.375,6.75,3
76.625,6.75,335
76.875,6.75,331
77.125,6.75,319
77.375,6.75,314
77.625,6.75,303
77.875,6.75,360
78.125,6.75,333
78.375,6.75,329
78.625,6.75,317
78.875,6.75,314
79.125,6.75,303
79.375,6.75,357
79.625,6.75,333
80.625,6.75,328
81.375,6.75,316
81.625,6.75,313
81.875,6.75,303
82.125,6.75,352
82.375,6.75,332
82.625,6.75,327
82.875,6.75,313
83.125,6.75,314
83.375,6.75,302
83.625,6.75,350
83.875,6.75,329
84.125,6.75,324
84.375,6.75,311
84.625,6.75,313
84.875,6.75,302
85.125,6.75,348
85.375,6.75,328
85.625,6.75,323
85.875,6.75,309
86.125,6.75,313
86.375,6.75,300
86.625,6.75,346
86.875,6.75,325
87.125,6.75,321
87.375,6.75,307
87.625,6.75,312
87.875,6.75,297
88.125,6.75,343
88.375,6.75,321
88.625,6.75,321
79.875,6.875,305
80.0,6.875,312
80.25,6.875,295
80.75,6.875,340
80.875,6.875,320
81.125,6.875,320
81.75,6.875,304
68.875,7.0,311
69.125,7.0,294
69.375,7.0,341
69.625,7.0,321
69.875,7.0,320
70.125,7.0,303
70.375,7.0,310
70.625,7.0,294
70.875,7.0,341
71.125,7.0,319
71.375,7.0,321
71.625,7.0,301
71.875,7.0,306
72.125,7.0,294
72.375,7.0,339
72.625,7.0,320
72.875,7.0,321
73.125,7.0,300
73.375,7.0,304
73.625,7.0,294
73.875,7.0,338
74.125,7.0,322
74.375,7.0,319
74.625,7.0,298
74.875,7.0,303
75.125,7.0,294
75.375,7.0,330
75.625,7.0,320
75.875,7.0,317
76.125,7.0,298
76.375,7.0,301
76.625,7.0,293
76.875,7.0,327
77.125,7.0,320
77.375,7.0,315
77.625,7.0,298
77.875,7.0,300
78.125,7.0,292
78.375,7.0,322
78.625,7.0,321
78.875,7.0,314
79.125,7.0,299
79.375,7.0,299
79.625,7.0,291
80.125,7.0,312
80.5,7.0,317
81.25,7.0,312
81.625,7.0,297
82.125,7.0,297
82.375,7.0,290
82.625,7.0,306
82.875,7.0,316
