Latitude,temperature_2m_min,pressure_msl,wind_direction_10m_dominant,Longitude,precipitation_probability_max,temperature_2m_max,TP
5.25,27.9,1009.4541666666668,220,79.875,100,28.6,8.904948386532919
5.25,25.0,1009.4208333333332,254,80.125,100,28.1,8.904948386532919
5.25,27.8,1009.4125,236,80.375,100,28.5,8.904948386532919
5.25,27.9,1009.4083333333332,227,80.625,100,28.5,8.904948386532919
5.25,27.9,1009.3541666666666,213,80.875,100,28.4,8.904948386532919
5.25,28.1,1009.3083333333334,213,81.125,99,28.6,8.904948386532919
5.25,28.0,1009.2583333333332,222,81.375,100,28.6,8.904948386532919
5.25,25.2,1009.2,255,81.625,100,28.1,8.904948386532919
5.25,27.6,1009.175,235,81.875,100,28.5,8.904948386532919
5.25,27.8,1009.1125,226,82.125,100,28.5,8.904948386532919
5.25,27.9,1009.0958333333332,213,82.375,100,28.5,8.904948386532919
5.25,28.1,1009.0583333333334,213,82.625,95,28.6,8.904948386532919
5.25,28.0,1009.0416666666666,222,82.875,100,28.6,8.904948386532919
5.25,25.4,1009.05,254,83.125,100,28.0,8.904948386532919
5.25,27.6,1009.0375,234,83.375,100,28.5,8.904948386532919
5.25,27.8,1009.0333333333332,225,83.625,100,28.5,8.904948386532919
5.25,27.9,1009.0208333333334,214,83.875,99,28.5,8.904948386532919
5.25,28.1,1009.0166666666668,214,84.125,90,28.6,8.904948386532919
5.25,27.9,1008.9708333333332,222,84.375,100,28.6,8.904948386532919
5.25,25.2,1008.9666666666668,254,84.625,100,28.0,8.904948386532919
5.25,27.6,1008.9708333333332,232,84.875,100,28.5,8.904948386532919
5.25,27.9,1008.9458333333332,224,85.125,100,28.4,8.904948386532919
5.25,27.9,1008.9375,214,85.375,94,28.5,8.904948386532919
5.25,28.1,1008.9333333333334,214,85.625,81,28.5,8.904948386532919
5.25,28.0,1008.9416666666666,222,85.875,100,28.6,8.904948386532919
5.25,25.5,1008.9125,255,86.125,100,28.0,8.904948386532919
5.25,27.6,1008.9,231,86.375,100,28.4,8.904948386532919
5.25,27.9,1008.9083333333332,223,86.625,100,28.5,8.904948386532919
5.25,28.0,1008.8958333333334,214,86.875,83,28.5,8.904948386532919
5.25,28.1,1008.9041666666668,215,87.125,81,28.6,8.904948386532919
5.25,28.0,1008.9041666666668,223,87.375,100,28.6,8.904948386532919
5.25,25.5,1008.9041666666668,254,87.625,100,28.0,8.904948386532919
5.25,27.8,1008.8916666666668,231,87.875,100,28.5,8.904948386532919
5.25,27.9,1008.8791666666666,223,88.125,97,28.5,8.904948386532919
5.25,28.0,1008.8958333333334,214,88.375,74,28.5,8.904948386532919
5.25,28.2,1008.9041666666668,216,88.625,84,28.6,8.904948386532919
5.5,28.0,1010.3041666666668,223,68.875,100,28.8,8.904948386532919
5.5,25.6,1010.3083333333334,253,69.125,100,27.9,11.924896673683625
5.5,27.8,1010.2666666666668,230,69.375,100,28.6,11.878625950313625
5.5,27.9,1010.2875,222,69.625,97,28.5,11.892586710476584
5.5,28.0,1010.2875,215,69.875,61,28.5,11.966778954172504
5.5,28.2,1010.2541666666666,216,70.125,94,28.6,11.98928213286615
5.5,27.9,1010.2416666666668,223,70.375,100,28.8,11.960096246557525
5.5,25.6,1010.225,252,70.625,100,27.8,11.979705474103373
5.5,27.9,1010.1958333333332,229,70.875,100,28.8,12.048109815503697
5.5,27.9,1010.1625,220,71.125,100,28.4,12.0587448773244
5.5,28.0,1010.1583333333332,217,71.375,61,28.5,12.011610659565484
5.5,28.0,1010.1625,218,71.625,100,28.5,12.041357095576846
