temperature_2m_max,precipitation_probability_max,pressure_msl,longitude,latitude,wind_direction_10m_dominant,temperature_2m_min
29.2,15,1007.2708333333334,77.375,6.0,339,28.5
29.0,3,1007.1958333333332,77.625,6.0,312,28.0
29.4,58,1007.15,77.875,6.0,330,27.7
29.1,0,1007.0708333333332,78.125,6.0,315,28.5
28.6,8,1006.8625,78.375,6.0,302,28.0
29.2,35,1006.75,78.625,6.0,344,28.0
29.4,20,1006.6375,78.875,6.0,335,28.5
29.1,5,1006.45,79.125,6.0,308,28.2
29.2,60,1006.225,79.375,6.0,329,27.9
29.1,0,1005.9666666666668,79.625,6.0,313,28.5
28.9,10,1005.7666666666668,79.875,6.0,300,28.0
29.2,35,1004.9458333333332,80.375,6.0,343,27.9
29.3,20,1004.5208333333334,80.625,6.0,331,28.3
29.1,5,1003.1291666666666,81.125,6.0,308,28.1
29.4,60,1003.0291666666668,81.375,6.0,325,27.9
29.0,0,1002.9041666666668,81.625,6.0,313,28.5
28.9,10,1002.9416666666666,81.875,6.0,298,28.1
29.1,33,1002.9458333333332,82.125,6.0,342,27.7
29.2,25,1002.9333333333334,82.375,6.0,331,28.1
29.3,10,1002.975,82.625,6.0,308,28.2
29.1,65,1002.9625,82.875,6.0,323,27.8
29.1,3,1002.975,83.125,6.0,312,28.5
29.0,8,1003.0958333333332,83.375,6.0,297,28.0
28.7,28,1003.1375,83.625,6.0,337,27.8
29.1,35,1003.1416666666668,83.875,6.0,331,28.0
29.2,13,1003.2583333333332,84.125,6.0,309,28.0
29.2,58,1003.4791666666666,84.375,6.0,323,27.9
29.1,3,1003.6,84.625,6.0,311,28.5
29.0,8,1003.775,84.875,6.0,294,28.0
28.6,28,1004.0333333333332,85.125,6.0,337,27.6
29.1,35,1004.2041666666668,85.375,6.0,329,27.9
29.1,13,1004.3458333333332,85.625,6.0,309,28.0
29.1,58,1004.4916666666668,85.875,6.0,319,28.0
29.2,3,1004.75,86.125,6.0,308,28.5
29.0,8,1004.8916666666668,86.375,6.0,292,28.0
28.6,53,1005.0791666666668,86.625,6.0,337,27.6
29.1,48,1005.3125,86.875,6.0,328,27.9
29.1,18,1005.45,87.125,6.0,308,28.1
29.1,50,1005.625,87.375,6.0,318,28.1
29.1,3,1005.7625,87.625,6.0,307,28.5
29.0,8,1005.9958333333334,87.875,6.0,290,28.0
28.6,55,1006.1,88.125,6.0,337,27.7
29.0,50,1006.225,88.375,6.0,326,28.0
28.9,35,1006.3583333333332,88.625,6.0,306,28.0
29.1,45,1005.3875,80.125,6.125,315,28.1
29.2,3,1005.2791666666668,80.25,6.125,306,28.5
29.0,8,1003.3708333333334,80.875,6.125,288,28.1
28.5,55,1008.9708333333332,68.875,6.25,335,27.0
28.7,50,1008.925,69.125,6.25,326,28.0
28.9,35,1008.9083333333332,69.375,6.25,304,28.1
29.1,45,1008.8583333333332,69.625,6.25,312,28.0
29.1,3,1008.7625,69.875,6.25,304,28.5
29.0,8,1008.7458333333334,70.125,6.25,286,28.1
28.5,63,1008.7166666666668,70.375,6.25,336,26.8
28.5,60,1008.6375,70.625,6.25,325,28.0
28.5,35,1008.5625,70.875,6.25,305,28.0
29.1,43,1008.5291666666668,71.125,6.25,311,28.1
29.1,3,1008.4208333333332,71.375,6.25,303,28.5
29.1,8,1008.3791666666666,71.625,6.25,285,28.1
28.7,65,1008.3291666666668,71.875,6.25,333,26.8
28.6,50,1008.2583333333332,72.125,6.25,327,27.9
28.5,50,1008.25,72.375,6.25,306,27.8
